id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,2,oa,front
70,2,oa,back
71,2,oa,up
72,2,oa,left
73,2,oa,right
74,7,usd,spiWrBps
75,7,usd,spiReBps
76,7,usd,fatWrBps
77,2,rpm,m1
78,2,rpm,m2
79,2,rpm,m3
80,2,rpm,m4
81,2,motor,m1
82,2,motor,m2
83,2,motor,m3
84,2,motor,m4
85,6,motor,m1req
86,6,motor,m2req
87,6,motor,m3req
88,6,motor,m4req
89,7,pm,vbat
90,2,pm,vbatMV
91,7,pm,extVbat
92,2,pm,extVbatMV
93,7,pm,extCurr
94,7,pm,chargeCurrent
95,4,pm,state
96,1,pm,batteryLevel
97,1,radio,rssi
98,1,radio,isConnected
99,2,radio,numRxBc
100,2,radio,numRxUc
101,5,gyro,xRaw
102,5,gyro,yRaw
103,5,gyro,zRaw
104,7,gyro,xVariance
105,7,gyro,yVariance
106,7,gyro,zVariance
107,7,gyro,x
108,7,gyro,y
109,7,gyro,z
110,3,colAv,latency
111,7,ext_pos,X
112,7,ext_pos,Y
113,7,ext_pos,Z
114,7,locSrv,x
115,7,locSrv,y
116,7,locSrv,z
117,7,locSrv,qx
118,7,locSrv,qy
119,7,locSrv,qz
120,7,locSrv,qw
121,2,locSrvZ,tick
122,2,crtp,rxRate
123,2,crtp,txRate
124,7,extrx,thrust
125,7,extrx,roll
126,7,extrx,pitch
127,7,extrx,rollRate
128,7,extrx,pitchRate
129,7,extrx,yawRate
130,7,extrx,zVel
131,1,extrx,AltHold
132,1,extrx,Arm
133,2,extrx_raw,ch0
134,2,extrx_raw,ch1
135,2,extrx_raw,ch2
136,2,extrx_raw,ch3
137,2,extrx_raw,ch4
138,2,extrx_raw,ch5
139,2,extrx_raw,ch6
140,2,extrx_raw,ch7
141,7,health,motorVarXM1
142,7,health,motorVarYM1
143,7,health,motorVarXM2
144,7,health,motorVarYM2
145,7,health,motorVarXM3
146,7,health,motorVarYM3
147,7,health,motorVarXM4
148,7,health,motorVarYM4
149,1,health,motorPass
150,7,health,batterySag
151,1,health,batteryPass
152,2,health,motorTestCount
153,3,memTst,errCntW
154,2,range,front
155,2,range,back
156,2,range,up
157,2,range,left
158,2,range,right
159,2,range,zrange
160,7,sensfusion6,qw
161,7,sensfusion6,qx
162,7,sensfusion6,qy
163,7,sensfusion6,qz
164,7,sensfusion6,gravityX
165,7,sensfusion6,gravityY
166,7,sensfusion6,gravityZ
167,7,sensfusion6,accZbase
168,1,sensfusion6,isInit
169,1,sensfusion6,isCalibrated
170,7,acc,x
171,7,acc,y
172,7,acc,z
173,7,baro,asl
174,7,baro,temp
175,7,baro,pressure
176,5,controller,ctr_yaw
177,7,controller,cmd_thrust
178,7,controller,cmd_roll
179,7,controller,cmd_pitch
180,7,controller,cmd_yaw
181,7,controller,r_roll
182,7,controller,r_pitch
183,7,controller,r_yaw
184,7,controller,accelz
185,7,controller,actuatorThrust
186,7,controller,roll
187,7,controller,pitch
188,7,controller,yaw
189,7,controller,rollRate
190,7,controller,pitchRate
191,7,controller,yawRate
192,7,ctrltarget,x
193,7,ctrltarget,y
194,7,ctrltarget,z
195,7,ctrltarget,vx
196,7,ctrltarget,vy
197,7,ctrltarget,vz
198,7,ctrltarget,ax
199,7,ctrltarget,ay
200,7,ctrltarget,az
201,7,ctrltarget,roll
202,7,ctrltarget,pitch
203,7,ctrltarget,yaw
204,5,ctrltargetZ,x
205,5,ctrltargetZ,y
206,5,ctrltargetZ,z
207,5,ctrltargetZ,vx
208,5,ctrltargetZ,vy
209,5,ctrltargetZ,vz
